road_corridor,slope_deg,elevation_m,rainfall_1h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_clay_percent,distance_to_river_m,vegetation_ndvi,historical_incidents,road_quality,p_landslide_true,landslide_occurred,p_flood_true,flood_occurred,inundation_depth_cm,risk_multiplier
NH-37 (Silchar-Imphal),2.8,174.2,0.0,0.0,0.1,41.7,1427.6,0.843,3,3,0.0174,0,0.0325,0,0.0,1.37
NH-10 (Siliguri-Gangtok),3.5,196.7,16.6,79.5,178.9,49.3,193.6,0.41,2,2,0.3167,0,0.3708,0,0.0,2.51
NH-10 (Siliguri-Gangtok),15.9,154.6,0.5,1.3,2.1,50.2,49.2,0.686,4,2,0.0315,0,0.2779,0,0.0,1.79
NH-10 (Siliguri-Gangtok),10.0,162.1,1.2,1.9,3.5,37.5,52.9,0.234,2,2,0.0227,0,0.2521,0,0.0,1.75
NH-37 (Silchar-Imphal),8.9,67.1,3.8,9.6,11.6,28.0,332.7,0.41,4,3,0.0246,0,0.4919,0,0.0,1.84
Guwahati-Jalukbari-Khanapara Urban,2.8,210.5,3.5,9.3,12.4,36.2,340.1,0.403,2,3,0.0192,0,0.0808,1,5.0,1.46
Guwahati-Jalukbari-Khanapara Urban,12.0,68.2,4.4,6.6,9.2,29.4,209.9,0.351,4,2,0.0282,0,0.5931,1,57.4,2.53
Guwahati-Jalukbari-Khanapara Urban,15.8,180.6,5.6,16.8,33.1,26.1,217.9,0.601,4,3,0.0335,0,0.1284,1,10.6,1.58
NH-27 (East-West Corridor),15.1,91.3,77.8,380.0,750.0,37.1,39.4,0.53,4,3,0.4692,0,0.96,1,173.2,3.96
NH-06 (Guwahati-Shillong),11.6,208.4,24.2,180.9,404.8,41.3,274.4,0.14,0,4,0.3615,0,0.5628,0,0.0,2.5
NH-27 (East-West Corridor),2.3,171.0,21.5,135.0,307.2,38.6,265.9,0.88,6,2,0.3988,1,0.5924,1,80.2,3.52
NH-15 (North Bank Brahmaputra),2.9,176.9,0.9,1.2,1.3,53.2,76.7,0.582,3,2,0.0211,0,0.2123,0,0.0,1.71
NH-10 (Siliguri-Gangtok),1.8,83.3,1.1,2.7,3.6,26.9,58.4,0.55,1,4,0.0143,0,0.6421,0,0.0,1.82
NH-10 (Siliguri-Gangtok),5.4,122.5,2.7,7.4,11.1,29.9,66.2,0.786,2,3,0.0166,0,0.3949,0,0.0,1.73
Guwahati-Jalukbari-Khanapara Urban,3.3,153.1,16.4,107.9,338.0,41.7,57.3,0.728,0,4,0.281,0,0.7068,1,73.7,3.02
NH-27 (East-West Corridor),5.4,179.7,17.5,143.2,480.5,39.0,349.3,0.496,3,2,0.3921,1,0.5225,0,0.0,2.83
NH-27 (East-West Corridor),7.5,63.2,2.7,8.0,9.7,15.1,96.6,0.199,3,4,0.0208,0,0.682,1,66.1,2.37
Guwahati-Jalukbari-Khanapara Urban,17.0,213.4,0.0,0.1,0.1,27.5,121.4,0.652,3,2,0.0282,0,0.1539,0,0.0,1.66
NH-06 (Guwahati-Shillong),11.4,200.8,10.8,85.7,298.7,25.2,86.7,0.377,1,3,0.3522,1,0.4363,0,0.0,2.51
NH-06 (Guwahati-Shillong),15.2,92.3,25.1,135.7,432.9,48.6,1128.2,0.773,4,2,0.4734,0,0.7191,0,0.0,3.2
NH-27 (East-West Corridor),13.1,189.0,9.2,51.7,162.0,49.6,694.9,0.41,3,1,0.2637,0,0.0839,0,0.0,2.26
NH-27 (East-West Corridor),2.9,135.7,15.8,139.3,389.7,26.4,111.7,0.469,5,3,0.4117,0,0.7962,1,103.3,3.67
NH-06 (Guwahati-Shillong),13.5,125.8,40.6,266.0,750.0,19.1,158.9,0.308,1,3,0.3789,1,0.839,1,118.1,3.64
NH-37 (Silchar-Imphal),5.7,100.0,4.3,7.9,14.7,23.2,102.5,0.323,1,3,0.0175,0,0.5104,1,64.5,2.33
NH-37 (Silchar-Imphal),11.9,146.7,51.7,308.1,750.0,22.1,257.0,0.53,4,3,0.4195,1,0.7008,1,123.6,3.59
NH-10 (Siliguri-Gangtok),6.8,172.7,13.6,110.9,327.3,24.5,26.9,0.514,3,3,0.3681,1,0.6934,1,96.0,3.47
NH-27 (East-West Corridor),18.0,116.9,17.9,116.4,281.7,24.4,409.5,0.464,3,4,0.4687,1,0.6503,1,84.5,3.46
NH-06 (Guwahati-Shillong),5.5,155.1,0.1,0.1,0.2,34.2,279.2,0.88,3,2,0.018,0,0.1301,0,0.0,1.62
Guwahati-Jalukbari-Khanapara Urban,5.7,167.4,0.1,0.1,0.2,27.8,821.2,0.659,5,4,0.021,0,0.0426,0,0.0,1.24
Guwahati-Jalukbari-Khanapara Urban,16.8,169.4,0.2,0.3,0.6,37.4,82.9,0.552,5,3,0.0346,0,0.2028,0,0.0,1.58
NH-37 (Silchar-Imphal),1.4,54.1,1.2,3.0,3.4,28.8,590.6,0.08,4,3,0.0239,0,0.3934,1,37.8,2.03
NH-06 (Guwahati-Shillong),12.8,195.5,21.6,107.2,332.4,47.6,569.5,0.699,4,2,0.4493,0,0.3237,1,60.2,3.21
NH-37 (Silchar-Imphal),13.3,125.2,8.3,13.8,19.2,53.0,67.6,0.88,3,2,0.0265,0,0.4164,0,0.0,1.92
NH-37 (Silchar-Imphal),15.2,90.9,1.6,1.9,2.8,31.2,197.9,0.516,1,2,0.0223,0,0.4827,0,0.0,1.98
NH-27 (East-West Corridor),17.6,87.3,79.9,380.0,750.0,17.0,85.3,0.404,4,2,0.5124,0,0.9556,1,176.5,4.2
NH-27 (East-West Corridor),17.6,129.5,0.7,1.5,2.2,24.6,122.9,0.579,3,5,0.0259,0,0.2664,0,0.0,1.32
NH-06 (Guwahati-Shillong),2.1,200.2,0.8,1.4,2.5,19.1,126.9,0.292,1,5,0.0144,0,0.1337,0,0.0,1.16
NH-10 (Siliguri-Gangtok),15.0,111.2,0.8,2.2,4.3,28.8,304.4,0.633,5,3,0.0296,1,0.263,0,0.0,1.63
NH-27 (East-West Corridor),12.0,176.2,14.7,106.4,320.8,40.8,205.5,0.82,2,2,0.3758,0,0.5112,0,0.0,2.78
NH-10 (Siliguri-Gangtok),12.0,61.9,1.3,2.0,3.7,35.8,1053.0,0.429,5,5,0.026,0,0.2581,0,0.0,1.31
NH-37 (Silchar-Imphal),3.2,128.3,30.6,193.0,505.7,24.7,67.3,0.435,3,4,0.3547,1,0.8727,1,126.5,3.47
NH-15 (North Bank Brahmaputra),12.1,218.5,1.8,4.0,4.7,45.7,1293.3,0.536,5,1,0.032,0,0.0326,0,0.0,1.7
NH-37 (Silchar-Imphal),17.7,179.8,15.4,80.3,289.5,20.3,111.8,0.46,3,3,0.4635,0,0.4372,0,0.0,2.75
NH-06 (Guwahati-Shillong),16.5,81.8,0.2,0.4,0.7,24.1,538.8,0.278,2,3,0.0264,0,0.3107,0,0.0,1.67
NH-06 (Guwahati-Shillong),8.5,132.8,3.0,4.0,5.0,42.0,164.9,0.481,1,1,0.0198,0,0.2698,0,0.0,1.91
NH-15 (North Bank Brahmaputra),1.7,85.9,1.7,3.9,6.3,22.9,74.0,0.444,4,1,0.0229,0,0.6484,1,81.4,2.9
NH-37 (Silchar-Imphal),7.2,116.7,2.2,3.9,5.3,42.2,702.9,0.796,3,3,0.0191,0,0.1297,0,0.0,1.47
NH-10 (Siliguri-Gangtok),15.0,181.5,0.8,1.5,2.3,54.1,149.3,0.758,1,1,0.0233,0,0.1678,0,0.0,1.82
NH-10 (Siliguri-Gangtok),12.9,180.0,1.1,3.0,5.0,48.3,396.4,0.802,5,1,0.0304,0,0.0862,0,0.0,1.75
NH-37 (Silchar-Imphal),8.8,84.9,0.5,0.9,1.7,21.4,312.5,0.694,4,2,0.0214,0,0.4218,1,35.2,2.18
Guwahati-Jalukbari-Khanapara Urban,1.9,206.4,28.7,140.7,427.4,35.8,243.4,0.587,3,5,0.339,0,0.5505,0,0.0,2.29
Guwahati-Jalukbari-Khanapara Urban,8.3,148.7,1.4,2.4,3.1,31.9,259.7,0.393,3,4,0.0203,0,0.1368,0,0.0,1.33
NH-10 (Siliguri-Gangtok),9.0,111.5,11.1,13.2,15.6,54.7,481.2,0.789,2,3,0.0204,0,0.2162,0,0.0,1.56
Guwahati-Jalukbari-Khanapara Urban,16.8,132.8,34.7,180.1,590.5,53.6,52.2,0.613,3,3,0.4794,1,0.8797,1,120.0,3.9
NH-15 (North Bank Brahmaputra),11.9,150.9,16.3,109.4,243.6,20.1,406.1,0.325,5,4,0.4398,0,0.4256,1,68.3,3.05
NH-15 (North Bank Brahmaputra),6.3,143.0,1.4,2.6,5.0,51.3,811.5,0.386,1,3,0.0184,0,0.066,0,0.0,1.41
NH-27 (East-West Corridor),9.9,130.1,0.1,0.1,0.3,22.7,40.8,0.323,4,1,0.0262,0,0.3924,0,0.0,2.05
NH-06 (Guwahati-Shillong),2.1,133.4,71.6,380.0,750.0,27.8,73.1,0.181,4,4,0.3999,1,0.858,1,158.9,3.55
NH-06 (Guwahati-Shillong),17.5,75.9,3.4,3.6,6.7,29.1,461.4,0.62,2,1,0.029,0,0.4029,0,0.0,2.06
Guwahati-Jalukbari-Khanapara Urban,7.1,187.2,46.9,212.2,585.1,26.5,221.2,0.327,3,3,0.3884,1,0.6361,1,110.1,3.46
NH-37 (Silchar-Imphal),9.1,139.8,1.9,4.9,6.0,49.1,200.9,0.414,3,4,0.0223,0,0.1919,0,0.0,1.39
NH-27 (East-West Corridor),7.0,67.9,13.6,104.0,258.1,28.2,71.6,0.557,4,1,0.4108,1,0.9421,0,0.0,3.44
Guwahati-Jalukbari-Khanapara Urban,12.6,179.1,11.4,20.9,38.6,47.7,267.4,0.516,1,4,0.0247,0,0.1201,0,0.0,1.32
NH-15 (North Bank Brahmaputra),12.3,208.2,15.4,106.0,281.3,54.8,67.4,0.422,1,1,0.4104,0,0.6398,0,0.0,3.14
NH-37 (Silchar-Imphal),13.2,210.8,3.0,4.2,6.6,48.6,246.6,0.823,0,5,0.0155,0,0.094,0,0.0,1.13
NH-15 (North Bank Brahmaputra),5.6,109.6,10.2,85.2,244.4,28.8,524.8,0.275,3,4,0.3583,1,0.4369,1,55.0,2.78
NH-37 (Silchar-Imphal),6.4,68.7,7.4,20.1,33.8,43.5,124.6,0.283,1,5,0.0208,0,0.659,1,67.6,2.2
NH-10 (Siliguri-Gangtok),3.1,135.7,3.5,9.9,18.8,36.4,249.4,0.632,5,4,0.0232,0,0.1809,0,0.0,1.38
NH-27 (East-West Corridor),12.1,64.7,63.4,291.0,750.0,46.5,1710.6,0.437,7,2,0.4913,0,0.8202,1,135.1,4.02
NH-27 (East-West Corridor),1.7,208.4,1.8,2.0,3.3,21.1,426.2,0.43,5,5,0.0205,0,0.0572,0,0.0,1.1
NH-10 (Siliguri-Gangtok),11.2,77.1,24.1,170.2,401.3,40.5,664.4,0.356,5,3,0.4717,0,0.8466,0,0.0,3.18
NH-37 (Silchar-Imphal),15.8,89.2,1.4,2.1,3.9,45.9,207.6,0.611,2,3,0.0249,0,0.4778,0,0.0,1.83
NH-37 (Silchar-Imphal),16.1,116.2,3.2,64.2,176.9,45.4,531.1,0.591,5,3,0.3902,0,0.2571,1,31.4,2.65
NH-15 (North Bank Brahmaputra),8.6,112.1,3.0,6.0,8.5,53.5,34.5,0.571,1,2,0.0195,0,0.5298,0,0.0,2.02
Guwahati-Jalukbari-Khanapara Urban,8.8,184.1,39.9,205.4,600.3,17.3,65.9,0.445,2,3,0.3545,0,0.7668,1,128.2,3.51
NH-06 (Guwahati-Shillong),2.3,124.9,42.8,312.5,750.0,28.8,99.4,0.415,3,3,0.37,1,0.8748,1,136.6,3.66
NH-15 (North Bank Brahmaputra),12.4,74.9,0.5,1.5,2.8,34.1,199.9,0.521,1,4,0.018,0,0.5408,1,59.1,2.17
NH-10 (Siliguri-Gangtok),15.0,91.8,36.7,252.9,525.7,27.4,674.2,0.724,1,1,0.3927,1,0.8191,1,107.3,3.95
Guwahati-Jalukbari-Khanapara Urban,5.2,134.1,20.7,114.6,319.7,27.4,168.8,0.832,3,3,0.34,1,0.7275,0,0.0,2.77
NH-27 (East-West Corridor),8.2,70.8,2.2,6.3,8.1,22.0,392.1,0.75,5,4,0.0215,0,0.4192,1,45.1,1.95
NH-27 (East-West Corridor),15.3,152.0,16.9,107.4,273.2,47.5,452.4,0.641,2,1,0.4422,0,0.4445,0,0.0,3.01
NH-27 (East-West Corridor),15.9,144.0,0.9,2.4,3.6,51.3,328.8,0.727,5,2,0.0346,1,0.1394,1,5.0,1.7
NH-06 (Guwahati-Shillong),5.1,170.1,21.3,134.5,378.7,18.3,174.7,0.337,3,1,0.3964,1,0.6697,1,98.4,3.81
NH-10 (Siliguri-Gangtok),10.4,209.1,0.6,0.6,0.6,21.2,321.2,0.422,2,3,0.0191,0,0.0796,0,0.0,1.42
NH-15 (North Bank Brahmaputra),4.3,204.6,0.2,0.3,0.6,24.1,166.6,0.644,3,2,0.0186,0,0.1329,1,23.6,1.8
NH-06 (Guwahati-Shillong),2.7,210.6,0.1,0.3,0.6,35.4,50.7,0.529,7,5,0.0209,0,0.1796,0,0.0,1.22
NH-37 (Silchar-Imphal),16.5,87.8,46.4,271.2,750.0,46.6,1747.0,0.611,4,3,0.4927,1,0.7356,1,125.5,3.79
NH-37 (Silchar-Imphal),14.9,68.0,32.1,181.8,475.2,17.9,67.6,0.726,5,3,0.4562,1,0.9692,1,139.4,3.94
NH-27 (East-West Corridor),13.9,97.9,53.1,363.4,750.0,40.5,46.3,0.698,2,5,0.3713,1,0.9463,1,151.2,3.43
NH-10 (Siliguri-Gangtok),1.8,201.6,2.3,5.5,8.9,21.0,757.8,0.354,3,2,0.0206,0,0.0423,0,0.0,1.54
Guwahati-Jalukbari-Khanapara Urban,15.3,215.1,0.1,0.2,0.3,53.9,145.8,0.552,2,3,0.0252,0,0.14,0,0.0,1.49
NH-37 (Silchar-Imphal),8.4,195.4,20.8,146.0,486.0,51.0,387.7,0.384,5,3,0.4622,0,0.4837,0,0.0,2.8
Guwahati-Jalukbari-Khanapara Urban,6.8,64.3,26.3,172.7,485.8,53.0,159.6,0.41,3,1,0.43,0,0.9628,1,113.6,4.17
NH-15 (North Bank Brahmaputra),10.3,210.8,8.5,19.8,37.9,19.2,193.8,0.242,3,5,0.0257,0,0.1177,0,0.0,1.17
Guwahati-Jalukbari-Khanapara Urban,2.6,119.1,5.5,6.5,11.7,34.5,126.4,0.574,3,4,0.0185,0,0.3459,1,49.9,1.91
NH-15 (North Bank Brahmaputra),13.9,46.6,0.9,1.2,2.2,21.6,167.0,0.229,1,5,0.0191,0,0.638,1,66.9,2.18
NH-15 (North Bank Brahmaputra),10.9,122.4,1.0,1.4,2.4,39.0,205.1,0.621,4,5,0.0215,0,0.2459,0,0.0,1.29
NH-37 (Silchar-Imphal),4.2,53.1,32.2,230.0,491.9,24.3,466.1,0.795,7,3,0.3855,0,0.9164,1,131.9,3.73
Guwahati-Jalukbari-Khanapara Urban,4.2,140.2,0.3,0.4,0.6,45.8,270.8,0.645,2,4,0.0166,0,0.154,0,0.0,1.34
Guwahati-Jalukbari-Khanapara Urban,4.1,104.2,53.0,343.0,750.0,40.8,1026.1,0.559,3,3,0.3732,0,0.6865,0,0.0,2.8
NH-15 (North Bank Brahmaputra),2.0,127.9,0.3,0.6,1.1,37.9,35.0,0.826,1,5,0.0128,0,0.3688,0,0.0,1.39
NH-15 (North Bank Brahmaputra),11.0,152.3,1.2,2.8,5.4,48.0,264.8,0.609,5,2,0.0289,0,0.1446,0,0.0,1.66
Guwahati-Jalukbari-Khanapara Urban,15.3,197.0,14.1,111.7,361.9,35.0,327.2,0.395,3,1,0.4807,1,0.4217,0,0.0,3.08
NH-06 (Guwahati-Shillong),1.3,160.8,28.6,221.4,651.0,25.8,904.9,0.573,3,2,0.3643,0,0.4041,1,40.3,2.95
NH-15 (North Bank Brahmaputra),1.8,121.0,0.1,0.2,0.2,39.8,37.6,0.88,5,2,0.0217,0,0.449,0,0.0,1.94
NH-10 (Siliguri-Gangtok),10.7,188.4,8.8,60.8,232.3,53.3,318.2,0.353,2,3,0.3481,0,0.164,0,0.0,2.23
NH-27 (East-West Corridor),14.9,203.5,0.0,0.1,0.2,39.0,692.6,0.302,3,1,0.0308,0,0.0478,0,0.0,1.72
NH-06 (Guwahati-Shillong),6.6,66.0,20.7,139.4,415.3,40.2,116.9,0.661,2,2,0.3599,1,0.9598,1,122.6,3.87
Guwahati-Jalukbari-Khanapara Urban,6.9,138.1,0.5,1.2,2.2,52.4,751.4,0.51,5,1,0.0289,0,0.084,1,5.0,1.78
NH-06 (Guwahati-Shillong),11.1,94.8,6.6,80.9,243.9,35.6,26.7,0.454,1,3,0.3392,0,0.8296,0,0.0,2.87
NH-06 (Guwahati-Shillong),5.7,53.2,1.1,1.9,3.5,54.9,481.5,0.323,4,2,0.0265,0,0.4649,0,0.0,1.97
NH-10 (Siliguri-Gangtok),1.5,162.0,0.1,0.1,0.2,21.4,966.7,0.199,2,3,0.018,0,0.0421,0,0.0,1.38
NH-10 (Siliguri-Gangtok),13.5,196.0,15.2,100.8,360.7,36.5,394.7,0.288,1,1,0.4194,0,0.3425,0,0.0,2.86
Guwahati-Jalukbari-Khanapara Urban,11.6,73.5,34.6,224.0,633.9,23.5,222.3,0.841,0,3,0.3025,0,0.9405,1,148.5,3.57
NH-15 (North Bank Brahmaputra),10.9,187.2,3.9,9.5,17.4,33.1,36.1,0.548,0,2,0.0181,0,0.2383,0,0.0,1.73
NH-06 (Guwahati-Shillong),13.6,194.3,2.6,2.7,5.3,21.8,904.5,0.197,5,1,0.0346,0,0.04,0,0.0,1.72
NH-10 (Siliguri-Gangtok),12.5,205.0,0.2,0.4,0.6,23.9,242.4,0.763,2,2,0.0192,0,0.1047,0,0.0,1.6
NH-10 (Siliguri-Gangtok),4.5,91.4,29.4,190.4,558.3,23.4,30.3,0.772,7,4,0.3756,1,0.9578,1,130.8,3.6
NH-06 (Guwahati-Shillong),7.0,203.2,40.0,206.2,587.1,27.8,429.7,0.771,1,4,0.2981,0,0.4686,0,0.0,2.27
NH-10 (Siliguri-Gangtok),3.1,101.1,10.4,92.4,261.6,20.4,250.1,0.474,1,5,0.2835,1,0.6809,1,74.2,2.85
NH-37 (Silchar-Imphal),3.2,141.7,1.2,2.8,5.0,47.4,66.5,0.502,2,3,0.0185,0,0.2946,1,38.1,1.92
NH-10 (Siliguri-Gangtok),12.5,53.8,21.0,135.4,383.8,23.8,104.4,0.575,3,2,0.4106,1,0.9652,1,124.8,3.98
Guwahati-Jalukbari-Khanapara Urban,15.6,52.7,1.4,1.8,2.3,31.7,43.3,0.802,5,5,0.0264,0,0.7477,1,86.3,2.45
Guwahati-Jalukbari-Khanapara Urban,17.4,171.1,2.7,3.2,6.1,15.6,318.9,0.45,0,3,0.0214,0,0.0947,0,0.0,1.44
NH-27 (East-West Corridor),11.7,122.8,8.8,52.6,197.0,19.2,360.5,0.414,4,1,0.3183,0,0.2926,1,40.5,2.89
NH-27 (East-West Corridor),4.1,89.9,16.0,95.4,309.7,50.9,266.6,0.675,2,4,0.3344,0,0.7972,0,0.0,2.67
NH-06 (Guwahati-Shillong),2.8,78.3,4.9,49.4,184.8,48.5,614.6,0.768,2,2,0.2053,0,0.4145,1,42.8,2.63
NH-15 (North Bank Brahmaputra),14.8,162.2,5.4,46.4,160.1,48.6,710.7,0.54,8,4,0.2465,0,0.0733,0,0.0,1.76
Guwahati-Jalukbari-Khanapara Urban,10.8,45.1,6.6,89.2,258.4,31.5,354.6,0.671,0,1,0.326,0,0.8128,1,78.2,3.71
NH-27 (East-West Corridor),11.5,186.0,34.8,224.8,698.3,20.7,24.5,0.57,4,1,0.4363,0,0.8185,1,96.3,4.05
NH-06 (Guwahati-Shillong),14.3,58.9,0.9,1.7,2.5,19.3,435.9,0.505,0,3,0.0176,0,0.4431,1,69.5,2.3
NH-27 (East-West Corridor),13.0,78.5,7.0,15.0,28.1,39.2,209.4,0.401,5,1,0.0386,0,0.5815,0,0.0,2.26
NH-10 (Siliguri-Gangtok),15.2,112.6,17.1,125.4,359.0,48.1,311.8,0.342,3,5,0.4477,1,0.7459,1,92.1,3.4
NH-37 (Silchar-Imphal),2.0,129.9,12.8,118.1,284.7,51.0,386.5,0.439,2,4,0.3505,1,0.5709,0,0.0,2.49
NH-27 (East-West Corridor),13.7,107.1,1.7,2.4,4.4,26.5,170.9,0.374,2,2,0.0237,0,0.3974,0,0.0,1.9
NH-10 (Siliguri-Gangtok),15.5,101.1,1.0,1.5,1.7,27.8,891.5,0.601,1,3,0.0206,0,0.1572,0,0.0,1.5
NH-37 (Silchar-Imphal),5.9,213.7,1.3,1.5,2.9,19.0,70.3,0.769,0,4,0.0121,0,0.1696,0,0.0,1.34
NH-27 (East-West Corridor),11.9,157.3,0.9,2.0,2.6,46.0,409.6,0.587,0,4,0.0164,0,0.0872,0,0.0,1.27
Guwahati-Jalukbari-Khanapara Urban,6.3,49.1,56.3,293.5,750.0,26.0,21.5,0.384,2,3,0.3571,0,0.981,1,148.1,3.73
NH-37 (Silchar-Imphal),17.3,120.3,2.2,2.7,3.2,34.2,925.0,0.704,1,5,0.0209,0,0.0881,0,0.0,1.13
NH-15 (North Bank Brahmaputra),1.6,198.1,23.0,178.1,400.8,52.2,61.8,0.603,2,5,0.3295,0,0.7438,1,108.6,3.14
NH-15 (North Bank Brahmaputra),10.9,97.8,4.1,5.6,8.7,45.1,54.9,0.639,2,2,0.0214,0,0.6012,0,0.0,2.09
NH-10 (Siliguri-Gangtok),3.8,61.5,0.3,0.6,0.8,17.1,161.7,0.457,1,5,0.0136,0,0.6045,0,0.0,1.63
Guwahati-Jalukbari-Khanapara Urban,13.1,177.7,3.5,10.0,11.4,15.3,183.7,0.754,5,4,0.0249,0,0.1303,0,0.0,1.33
NH-10 (Siliguri-Gangtok),4.0,151.1,15.5,81.3,276.7,46.5,104.4,0.753,1,5,0.2843,0,0.5119,0,0.0,2.13
NH-15 (North Bank Brahmaputra),5.0,144.8,10.1,67.3,195.5,37.1,327.9,0.517,2,3,0.2787,1,0.2583,0,0.0,2.17
NH-27 (East-West Corridor),9.4,54.4,38.0,242.7,750.0,43.8,224.8,0.679,3,4,0.3748,0,0.9525,1,139.4,3.59
NH-10 (Siliguri-Gangtok),16.6,69.6,1.2,1.2,2.0,21.3,32.2,0.748,4,2,0.0286,0,0.7449,1,90.2,2.93
NH-06 (Guwahati-Shillong),4.6,153.9,0.4,1.1,1.8,49.9,154.8,0.466,2,4,0.0181,0,0.1783,0,0.0,1.37
NH-10 (Siliguri-Gangtok),3.5,81.4,0.3,0.7,0.8,45.9,602.1,0.535,5,3,0.0241,0,0.3002,0,0.0,1.65
NH-10 (Siliguri-Gangtok),13.9,133.2,1.3,3.8,7.4,50.6,429.6,0.564,2,3,0.0237,0,0.1318,0,0.0,1.48
Guwahati-Jalukbari-Khanapara Urban,9.5,140.4,17.9,168.0,556.5,28.6,471.7,0.352,3,4,0.3881,1,0.5744,0,0.0,2.57
NH-10 (Siliguri-Gangtok),16.5,94.6,48.7,266.7,750.0,26.0,439.2,0.629,1,3,0.3971,0,0.8473,1,136.9,3.69
NH-37 (Silchar-Imphal),3.5,211.0,12.9,96.1,257.2,21.1,150.4,0.734,1,4,0.2771,0,0.4251,1,61.2,2.64
NH-10 (Siliguri-Gangtok),12.0,192.4,4.2,10.1,16.9,52.2,56.7,0.524,1,4,0.0204,0,0.2045,0,0.0,1.4
NH-15 (North Bank Brahmaputra),5.0,171.4,2.8,4.1,7.8,22.1,131.3,0.611,2,4,0.0158,0,0.16,0,0.0,1.34
NH-27 (East-West Corridor),3.7,58.6,4.5,9.3,12.7,19.8,643.9,0.802,2,2,0.0166,0,0.3825,0,0.0,1.87
NH-06 (Guwahati-Shillong),12.6,63.6,0.2,0.3,0.6,22.7,1397.5,0.477,5,5,0.0246,0,0.2245,1,23.7,1.45
NH-06 (Guwahati-Shillong),11.1,131.2,12.8,114.4,336.9,45.9,258.3,0.615,4,3,0.4279,0,0.6433,1,74.1,3.43
NH-15 (North Bank Brahmaputra),13.8,73.1,38.6,157.7,367.1,50.6,23.4,0.447,2,2,0.437,0,0.9755,1,154.5,4.05
NH-10 (Siliguri-Gangtok),6.3,216.2,5.1,7.4,10.8,47.4,72.8,0.443,5,1,0.03,1,0.2058,0,0.0,1.87
NH-06 (Guwahati-Shillong),8.6,72.7,0.2,0.2,0.5,37.5,156.1,0.612,3,5,0.0182,0,0.578,1,70.9,2.14
Guwahati-Jalukbari-Khanapara Urban,7.9,130.3,42.9,245.1,539.1,54.8,322.4,0.593,6,3,0.4452,0,0.7429,1,116.4,3.69
NH-06 (Guwahati-Shillong),17.7,108.7,19.0,167.5,565.1,17.8,47.3,0.65,0,2,0.3962,0,0.9305,0,0.0,3.24
NH-27 (East-West Corridor),6.0,156.9,13.1,79.2,206.4,49.7,1024.8,0.564,3,3,0.3432,0,0.1422,0,0.0,2.2
NH-10 (Siliguri-Gangtok),6.0,67.6,2.9,7.0,11.5,32.1,179.0,0.634,1,3,0.0161,0,0.6087,1,70.9,2.47
NH-06 (Guwahati-Shillong),7.0,120.3,1.0,2.1,3.9,33.2,873.0,0.85,3,5,0.0162,0,0.0905,0,0.0,1.13
NH-15 (North Bank Brahmaputra),10.6,93.1,19.5,158.5,522.2,20.1,550.8,0.741,3,3,0.3667,1,0.8057,1,106.8,3.58
NH-27 (East-West Corridor),5.3,200.4,14.3,129.3,319.6,16.3,512.9,0.611,4,3,0.3717,0,0.3498,1,37.0,2.74
NH-15 (North Bank Brahmaputra),16.6,52.1,0.4,0.8,1.1,27.7,346.6,0.641,2,4,0.0227,0,0.5023,1,51.6,2.08
NH-06 (Guwahati-Shillong),5.5,204.9,37.6,172.4,365.9,22.0,365.0,0.496,3,3,0.3646,0,0.511,1,88.0,3.27
NH-27 (East-West Corridor),16.2,190.8,14.9,109.3,242.0,34.3,375.6,0.521,4,2,0.4882,1,0.3794,0,0.0,2.9
NH-15 (North Bank Brahmaputra),2.8,97.1,1.6,4.3,4.8,20.9,366.8,0.639,2,4,0.0152,0,0.2982,0,0.0,1.48
NH-10 (Siliguri-Gangtok),12.2,183.1,4.7,12.9,15.6,20.5,302.4,0.566,2,5,0.0191,0,0.0876,0,0.0,1.13
NH-27 (East-West Corridor),16.4,50.5,4.9,13.7,24.1,50.1,1524.6,0.693,4,1,0.0384,0,0.3142,0,0.0,2.0
NH-06 (Guwahati-Shillong),3.9,214.2,0.1,0.1,0.2,51.9,481.2,0.778,3,4,0.0178,0,0.0558,0,0.0,1.24
NH-27 (East-West Corridor),17.5,137.2,47.1,322.8,750.0,53.6,545.1,0.532,3,3,0.4984,0,0.6038,0,0.0,2.99
NH-10 (Siliguri-Gangtok),8.7,98.1,0.6,0.7,1.3,42.2,740.8,0.188,4,2,0.0275,0,0.2008,1,10.9,1.79
NH-27 (East-West Corridor),17.1,108.5,14.6,99.0,332.6,45.8,105.0,0.88,1,1,0.4259,1,0.8388,1,107.0,4.04
Guwahati-Jalukbari-Khanapara Urban,12.5,56.6,20.2,156.2,433.7,48.4,50.6,0.433,3,2,0.4472,1,0.9759,1,130.6,4.07
NH-15 (North Bank Brahmaputra),6.1,218.1,1.0,1.5,1.8,41.4,250.8,0.585,4,2,0.023,0,0.1033,0,0.0,1.6
NH-06 (Guwahati-Shillong),4.2,51.9,1.8,4.3,5.6,28.2,272.6,0.681,2,1,0.0182,0,0.5985,1,87.7,2.89
NH-15 (North Bank Brahmaputra),6.2,159.6,67.5,380.0,750.0,21.3,638.5,0.804,1,2,0.3086,0,0.4746,1,101.2,3.27
